Entry_ID,Eye tracking,Imaging structure,Imaging function,Stimuli,Modality,Repetition of encoding trials,Delay
Cleveland_2005_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Coley_2012_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Connolly_2001_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Connolly_2001_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Connolly_2006_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Crookes_2009_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Crookes_2009_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Cuevas_2015_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Cuevas_2015_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Cuevas_2015_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Cuvo_1975_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Cycowicz_2000_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Cycowicz_2000_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Cycowicz_2000_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Cycowicz_2001_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Cycowicz_2001_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Cycowicz_2001_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Czernochowski_2009_Task_1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Czernochowski_2009_Task_1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Danby_2017_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Danby_2017b_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Darby_2015_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Darby_2015b_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Daugherty_2015_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Daugherty_2015_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Daugherty_2017_Task_1,0.0,1.0,0.0,1.0,1.0,1.0,1.0
